Middle layer Super Output Areas Code,Middle layer Super Output Areas,% 16_to_29,% 30_to_49,% 50_to_69,total
E02000001,City of London 001,27.52913753,32.85547786,23.39160839,8580
E02000002,Barking and Dagenham 001,17.15147858,29.54737477,17.1997586,8285
E02000003,Barking and Dagenham 002,18.89948007,30.09532062,19.74003466,11540
E02000004,Barking and Dagenham 003,18.3707273,27.76690257,22.78271345,6641
E02000005,Barking and Dagenham 004,16.99151778,32.07002346,17.41562895,11082
E02000007,Barking and Dagenham 006,18.41716704,29.74702234,18.42701053,10159
E02000008,Barking and Dagenham 007,16.60126773,31.02173257,20.63084817,13252
E02000009,Barking and Dagenham 008,19.34405844,31.45255304,17.43219088,12867
E02000010,Barking and Dagenham 009,17.97575119,30.41644702,20.49551924,9485
E02000011,Barking and Dagenham 010,18.88699118,28.72189012,19.96868773,7026
E02000012,Barking and Dagenham 011,21.96350999,28.74891399,18.83579496,11510
E02000013,Barking and Dagenham 012,17.75720821,30.70539419,19.08713693,9399
E02000014,Barking and Dagenham 013,17.83071465,30.40040547,19.74657881,9865
E02000015,Barking and Dagenham 014,17.91879407,30.16046681,19.2073912,8226
E02000016,Barking and Dagenham 015,19.66871746,36.81022243,13.11878845,10565
E02000017,Barking and Dagenham 016,20.01752081,33.96846255,18.97722295,9132
E02000018,Barking and Dagenham 017,18.13043023,31.73872082,17.93153983,9553
E02000019,Barking and Dagenham 018,17.89005073,30.27228492,18.66652863,9659
E02000020,Barking and Dagenham 019,18.36357168,34.414799,15.51049449,14055
E02000021,Barking and Dagenham 020,17.03196347,29.61187215,19.40639269,8760
E02000022,Barking and Dagenham 021,19.1011236,36.72994963,12.0237634,7743
E02000023,Barking and Dagenham 022,19.02207808,32.25645503,15.3548709,8017
E02000024,Barnet 001,14.2962553,27.22744881,25.9730677,10842
E02000025,Barnet 002,15.08796458,29.88465571,25.14272399,8583
E02000026,Barnet 003,14.26579926,27.122057,25.34076828,6456
E02000027,Barnet 004,16.36947958,28.23968484,23.88554841,9646
E02000028,Barnet 005,15.14919663,29.28844682,24.4682479,6535
E02000029,Barnet 006,16.65805518,29.82329234,22.06262271,9677
E02000030,Barnet 007,14.33858518,24.33118325,27.11219203,9457
E02000031,Barnet 008,14.47605329,30.40451326,22.29024127,8331
E02000032,Barnet 009,15.00188941,24.57488349,26.87995969,7939
E02000033,Barnet 010,15.36385109,29.6817006,24.85659656,8891
E02000034,Barnet 011,15.5606911,29.78980962,22.86783317,9087
E02000035,Barnet 012,15.75430782,32.93869417,20.81819247,8531
E02000036,Barnet 013,16.05904322,27.81433399,22.47021163,11246
E02000037,Barnet 014,15.80210449,27.16448219,20.67565073,10834
E02000038,Barnet 015,15.42121467,30.18938334,24.52654166,10719
E02000039,Barnet 016,15.43830262,28.22445561,22.98994975,7164
E02000040,Barnet 017,17.48029772,31.27189142,19.89929947,9136
E02000041,Barnet 018,17.12169312,30,20.95238095,9450
E02000042,Barnet 019,15.80586556,33.64477896,20.93606713,11559
E02000043,Barnet 020,13.07966706,29.52833928,23.19989431,7569
E02000044,Barnet 021,18.67721877,30.98925947,21.24364047,8845
E02000045,Barnet 022,16.23752969,31.3064133,22.83135392,10525
E02000046,Barnet 023,16.374605,36.11031313,20.22407354,6962
E02000047,Barnet 024,18.65924492,31.46176186,19.86931268,12396
E02000048,Barnet 025,15.46091015,29.45352003,21.17852975,10284
E02000049,Barnet 026,20.41765543,32.68153773,18.37683911,10535
E02000050,Barnet 027,18.1949528,29.9653246,22.54864188,10382
E02000051,Barnet 028,15.34934498,30.01091703,21.63755459,9160
E02000052,Barnet 029,16.12182741,33.47208122,21.31979695,9850
E02000054,Barnet 031,20.52962769,31.948086,20.63450446,7628
E02000055,Barnet 032,24.02558635,30.36247335,18.13219616,11725
E02000056,Barnet 033,13.50197109,26.4673675,22.91940429,9132
E02000057,Barnet 034,21.12553032,28.61242825,15.92213626,8014
E02000058,Barnet 035,15.92219724,28.80461343,19.42136644,10231
E02000059,Barnet 036,19.09677419,35.2516129,21.18709677,11625
E02000060,Barnet 037,18.44996108,24.96323847,15.73393305,11561
E02000061,Barnet 038,17.25997843,32.67409805,20.84382117,8343
E02000062,Barnet 039,19.34463926,32.7392929,20.17821213,6958
E02000063,Barnet 040,18.59177215,31.23681435,21.875,7584
E02000064,Barnet 041,19.76622209,32.03956242,19.81117938,6673
E02000065,Bexley 001,17.44791667,28.59623016,23.01587302,8064
E02000066,Bexley 002,18.28207847,27.57158006,23.54188759,9430
E02000067,Bexley 003,17.91613723,31.67823282,20.27172319,10231
E02000068,Bexley 004,17.59814113,30.67139538,18.63764217,8177
E02000069,Bexley 005,16.24393624,28.52390852,21.88496188,7215
E02000070,Bexley 006,14.50936884,25.46844181,25.94921105,8112
E02000071,Bexley 007,16.70575971,26.54417514,24.13343758,7674
E02000072,Bexley 008,18.12272692,30.17875106,19.81737987,12923
E02000073,Bexley 009,15.01165501,25.91142191,25.67832168,10725
E02000074,Bexley 010,16.83034203,27.97155435,22.64363924,8859
E02000075,Bexley 011,13.74170111,24.40185394,26.88212451,7983
E02000077,Bexley 013,16.23049515,27.9886964,23.82356555,8139
E02000078,Bexley 014,14.67473525,27.91225416,24.10489158,7932
E02000079,Bexley 015,14.68810583,29.0455012,21.9751397,8769
E02000080,Bexley 016,15.13857157,28.83679348,24.09853978,10067
E02000081,Bexley 017,14.03276319,26.64418212,24.10262587,8302
E02000082,Bexley 018,15.27911711,27.75099111,24.83660131,9333
E02000083,Bexley 019,17.61782196,29.75947457,21.69166593,11267
E02000084,Bexley 020,13.77541839,27.42486953,25.46337952,11114
E02000085,Bexley 021,16.46571213,26.97814619,23.66239638,7962
E02000086,Bexley 022,14.88086944,24.32771353,27.9782639,7177
E02000087,Bexley 023,14.13956887,26.16002923,25.3927658,8211
E02000088,Bexley 024,14.85352949,26.62279004,24.88062976,7749
E02000089,Bexley 025,14.86142893,25.23518942,25.12077295,7866
E02000090,Bexley 026,19.9667912,27.73972603,20.92154421,9636
E02000091,Bexley 027,16.07476636,25.09591736,24.06296114,10165
E02000092,Bexley 028,16.66666667,25.68087626,23.46062759,6756
E02000093,Brent 001,20.04041765,31.44998316,21.10980128,11876
E02000094,Brent 002,20.38064269,32.32593726,19.89288447,10456
E02000095,Brent 003,19.07265774,30.96558317,21.92160612,10460
E02000096,Brent 004,15.33018868,28.52463312,22.77253669,7632
E02000097,Brent 005,19.7607304,29.10064015,22.85654318,9529
E02000098,Brent 006,19.59505834,28.15145276,21.83710821,8742
E02000099,Brent 007,21.53620762,31.43574717,18.64796986,9556
E02000100,Brent 008,22.52133157,26.39105877,24.45619517,8321
E02000101,Brent 009,19.69818913,29.2555332,21.42857143,9940
E02000102,Brent 010,19.63492254,26.67227093,21.01597214,8327
E02000103,Brent 011,20.35087719,28.17042607,21.75438596,9975
E02000104,Brent 012,19.91739941,30.01598721,22.47535305,7506
E02000105,Brent 013,19.66880016,32.23610688,20.16661587,9843
E02000106,Brent 014,20.40954313,30.17482855,21.27885637,10353
E02000107,Brent 015,20.16822088,34.02815871,21.46644725,10938
E02000108,Brent 016,20.70533131,31.271525,20.41603527,7259
E02000110,Brent 018,20.50874404,30.81814847,21.97627492,8177
E02000111,Brent 019,20.38103677,32.36154187,20.11519716,11285
E02000112,Brent 020,20.12765957,34.86808511,20.50212766,11750
E02000113,Brent 021,22.25106427,24.55612086,23.14401412,9631
E02000114,Brent 022,22.11474316,35.74605292,20.11340894,8994
E02000115,Brent 023,22.23382046,34.27279054,19.80978891,8622
E02000116,Brent 024,19.64431964,32.26863227,20.56862057,8547
E02000117,Brent 025,18.97133883,28.33137024,22.24577935,12735
E02000118,Brent 026,21.94279642,30.73585407,22.4121137,11293
E02000119,Brent 027,20.68511199,31.56408809,18.9346885,10626
E02000120,Brent 028,21.14190687,36.76274945,19.54545455,9020
E02000121,Brent 029,21.94165237,34.16687097,17.83933971,12237
E02000122,Brent 030,17.34344423,30.39383562,24.37622309,8176
E02000123,Brent 031,19.46837494,30.89610485,22.94381857,13581
E02000124,Brent 032,18.89882448,34.26102683,21.33025219,9953
E02000125,Brent 033,16.35979475,33.00130798,23.6844753,9939
E02000126,Brent 034,21.79111762,30.75890678,21.71791118,8196
E02000127,Bromley 001,15.69300032,30.82859899,21.72794512,9329
E02000128,Bromley 002,12.87382878,29.03350019,23.61699397,7791
