Year,England and Wales,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales
2002,207444,212592,138685,167642,149588,153817,187349,222284,460295,297501,213084,132006
2003,240022,245900,174448,200115,184739,188074,220273,253295,508951,332218,252805,160277
2004,270876,275965,204958,236800,216373,211248,247651,274769,558935,358294,280652,192592
2005,291766,296661,226992,260974,236621,226422,264987,295243,582684,376944,295058,213419
2006,309015,314086,233448,272961,250952,232571,278526,309134,634919,402464,308717,225997
2007,336597,342764,247378,292614,266377,247957,294224,338979,710577,448580,340717,239551
2008,336674,343402,251361,292285,267754,242998,291198,339653,776879,456387,334482,233696
2009,309725,315084,228684,270778,250784,222789,266490,310282,683294,410672,304123,220917
2010,340381,347302,240881,284143,263177,236321,287687,347152,791376,456563,328371,225485
2011,332541,339266,232081,274546,252675,229563,277546,335840,770603,454426,326121,222260
2012,328470,335110,228452,265361,250970,229695,271388,336522,760032,453496,321508,219857
2013,335060,342015,230090,270461,250627,232350,276245,345876,821082,468002,327101,221964
2014,353168,360660,238658,279289,261630,247107,293093,371040,907819,504428,346024,231067
2015,367081,375296,244907,290253,273011,264503,306482,400798,928595,525106,361253,237550
2016,380605,389502,251655,302860,282932,275654,320224,428208,1001765,558381,379103,247625
2017,395648,405342,260391,316763,295548,291222,336973,448004,1042529,581663,401659,255773
2018,405194,414852,265142,324329,303234,305362,351430,460153,1064728,588711,413939,266905
2019,410254,419550,270013,328538,311689,312216,355504,458200,1062422,589159,418870,272568
2020,439572,448410,283253,346874,330194,329047,375353,479114,1139318,627610,448612,290700
2021,479897,489426,307125,383819,360720,351507,406859,515003,1211957,677733,488537,325838
2022,538670,550378,331662,424313,388204,381582,448639,576210,1364223,765932,555073,361709
