Code,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
K04000001,England and Wales,"58,977","63,878","72,247","80,709","93,619","108,994","119,955","138,210","149,888","168,514","175,012","185,497","199,070","196,949","194,866","219,525","223,939","236,218","251,708","266,203","274,460","288,106","300,760","298,858","303,020","322,449","317,348",308606.9306
E92000001,England,"59,233","64,159","72,608","81,135","94,112","109,752","120,799","139,196","150,869","169,451","175,838","186,481","200,463","198,708","196,718","221,524","226,017","238,493","254,174","269,126","277,424","291,460","304,749","302,795","306,978","326,150","320,935",312255.6123
E12000001,North East,"33,317","34,494","38,046","40,766","43,506","45,379","51,074","62,145","80,739","97,492","104,841","112,239","116,270","115,193","108,999","107,478","102,104","98,058","98,076","101,321","106,686","109,760","108,439","113,478","110,168","110,134","118,733",117908.5688
E12000002,North West,"43,133","45,593","47,655","51,461","57,672","66,186","74,998","91,224","105,340","124,376","133,075","139,228","140,876","131,794","123,702","121,713","117,385","115,106","115,407","121,286","128,011","135,638","143,933","142,283","148,318","167,253","172,531",166599.2887
E12000003,Yorkshire and The Humber,"42,297","43,351","45,664","47,910","54,041","63,706","72,204","86,976","104,747","121,966","127,801","133,314","135,615","128,064","119,555","121,932","120,137","115,161","116,242","119,553","127,354","133,779","137,890","138,352","142,583","144,473","149,837",152432.6238
E12000004,East Midlands,"33,833","35,023","38,464","42,066","47,342","54,130","65,441","79,502","97,018","109,566","116,740","118,819","122,179","111,969","106,567","103,676","103,402","101,356","101,076","108,687","115,247","124,411","126,669","132,313","130,265","134,443","141,732",142671.6245
E12000005,West Midlands,"39,591","41,045","43,031","46,161","51,328","58,012","70,752","83,746","102,839","117,284","124,943","128,861","131,137","123,661","114,796","115,004","112,923","110,752","115,553","122,856","131,421","136,271","144,052","151,659","151,636","153,820","158,482",153281.1565
E12000006,East of England,"42,241","42,152","47,386","50,371","57,693","68,025","76,604","97,138","115,552","128,843","139,632","148,371","156,739","152,602","142,371","149,066","150,010","151,433","161,470","171,241","182,262","199,599","212,172","216,712","217,987","220,875","226,347",226279.5769
E12000007,London,"79,943","88,556","101,174","114,861","134,842","162,214","177,913","202,707","216,394","237,880","248,401","267,632","298,508","308,515","309,726","340,015","354,982","373,321","406,145","456,382","474,881","518,081","555,873","551,047","558,409","574,096","549,048",561086.1989
E12000008,South East,"47,440","48,572","53,418","60,414","69,223","83,182","96,860","115,393","132,511","147,158","155,549","162,773","174,040","173,203","159,316","172,047","169,270","172,171","176,001","188,721","203,300","220,541","230,359","232,228","232,589","235,819","246,884",246663.9784
E12000009,South West,"46,217","47,850","51,907","57,222","65,107","73,343","85,481","106,890","124,664","140,977","145,383","153,381","164,240","160,746","152,868","160,702","158,336","157,660","160,350","169,017","176,563","186,339","195,705","199,856","201,776","212,016","224,261",220286.8675
W92000004,Wales,"39,614","40,902","43,769","46,039","51,468","55,836","66,951","84,723","97,296","117,039","131,611","132,100","137,178","130,762","126,317","124,312","121,655","120,864","116,993","124,942","126,339","128,592","133,684","137,500","142,131","142,905","150,496",152407.8229
