Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022,price_change_detached
E06000031,Peterborough,"315,606","324,459","347,815",386894.3169,22.58775717
E06000032,Luton,"393,612","408,490","422,104",446448.75,13.42356178
E06000033,Southend-on-Sea,"541,206","539,916","584,170",682463.8248,26.10056518
E06000034,Thurrock,"453,814","500,640","534,580",543805.5249,19.83004599
E06000055,Bedford,"442,535","449,126","497,577",551986.7062,24.73289258
E06000056,Central Bedfordshire,"480,416","487,027","526,626",574460.4981,19.57563822
E07000008,Cambridge,"889,258","861,327","1,033,163",1023203.63,15.06262862
E07000009,East Cambridgeshire,"411,626","426,365","452,453",504825.7011,22.64184019
E07000010,Fenland,"263,222","279,737","299,913",334982.7252,27.26243445
E07000011,Huntingdonshire,"401,506","415,255","439,319",487001.2158,21.29363342
E07000012,South Cambridgeshire,"544,892","547,123","593,313",682043.9345,25.17048048
E07000066,Basildon,"522,460","554,892","577,002",654568.8663,25.28592932
E07000067,Braintree,"448,329","470,675","500,597",561382.754,25.21669444
E07000068,Brentwood,"821,523","879,754","922,280",953430.6511,16.05647695
E07000069,Castle Point,"379,097","401,678","440,725",475673.3213,25.47535889
E07000070,Chelmsford,"575,753","589,716","631,250",703288.5576,22.15108868
E07000071,Colchester,"410,681","439,564","465,944",512322.0534,24.74939269
E07000072,Epping Forest,"926,243","885,279","1,000,122",1045646.518,12.89116549
E07000073,Harlow,"476,463","456,941","499,514",564107.8261,18.39488609
E07000074,Maldon,"467,688","475,933","539,536",569105.022,21.68476035
E07000075,Rochford,"493,041","513,317","552,593",621786.261,26.11248578
E07000076,Tendring,"325,257","341,401","361,276",389389.2037,19.71739385
E07000077,Uttlesford,"599,565","626,342","672,882",740638.1871,23.52925656
E07000095,Broxbourne,"668,583","698,452","749,277",811660.9777,21.40018183
E07000096,Dacorum,"781,787","823,448","870,401",930527.5482,19.02571266
E07000098,Hertsmere,"999,179","1,076,028","1,109,107",1244324.307,24.53467367
E07000099,North Hertfordshire,"666,839","683,927","699,277",774032.6658,16.07489451
E07000102,Three Rivers,"982,010","985,391","1,116,878",1262628.94,28.5759758
E07000103,Watford,"839,550","805,363","845,309",911165.5,8.530224525
E07000143,Breckland,"304,062","336,083","360,631",396329.8339,30.34507235
E07000144,Broadland,"340,796","357,534","385,806",433277.3231,27.13685698
E07000145,Great Yarmouth,"269,884","274,026","314,975",358295.1533,32.75894581
E07000146,King's Lynn and West Norfolk,"323,508","350,146","361,279",410651.5072,26.9370486
E07000147,North Norfolk,"373,709","383,869","421,178",486358.0872,30.14353072
E07000148,Norwich,"365,202","442,154","462,560",492406.3107,34.83121963
E07000149,South Norfolk,"349,679","370,782","417,106",444614.838,27.14942504
E07000200,Babergh,"435,385","446,863","477,918",501223.2009,15.1218349
E07000202,Ipswich,"360,281","356,688","402,383",431816.9457,19.85559763
E07000203,Mid Suffolk,"387,335","403,082","435,288",480974.8186,24.17540852
E07000240,St Albans,"961,903","971,735","1,081,230",1193807.118,24.10888811
E07000241,Welwyn Hatfield,"800,917","810,494","877,735",981681.7866,22.56972777
E07000242,East Hertfordshire,"692,513","734,148","778,993",869278.365,25.5252053
E07000243,Stevenage,"503,424","483,664","524,218",592221.0526,17.63862124
E07000244,East Suffolk,"367,290","402,231","424,187",485545.7504,32.19683367
E07000245,West Suffolk,"379,835","393,210","423,051",463863.108,22.12226572
E09000001,City of London,:,:,:,:,#VALUE!
E09000002,Barking and Dagenham,"425,364","452,813","434,733",536000,26.00972344
E09000003,Barnet,"1,409,761","1,602,031","1,547,904",2038200.8,44.57775467
E09000004,Bexley,"604,112","613,295","648,931",701308.8177,16.08920493
E09000005,Brent,"1,163,755","1,225,953","1,145,884",1381065.132,18.67318568
E09000006,Bromley,"842,618","873,212","962,512",1074263.379,27.49115008
E09000007,Camden,"5,590,590","5,047,677","4,888,462",5665990.323,1.348700638
E09000008,Croydon,"680,475","716,792","761,832",848384.1227,24.67528163
E09000009,Ealing,"1,414,704","1,352,676","1,615,560",1768547.59,25.01184629
E09000010,Enfield,"1,041,537","1,063,346","1,163,670",1338030.769,28.46694539
E09000011,Greenwich,"887,694","1,057,185","1,109,931",1049753.448,18.25622884
E09000012,Hackney,:,:,"1,623,000",1399166.667,#VALUE!
E09000013,Hammersmith and Fulham,"2,277,500","3,106,250","3,515,000",1978571.429,-13.12529401
E09000014,Haringey,"2,412,393","2,907,596","2,680,966",2931683.333,21.52594262
E09000015,Harrow,"964,408","978,194","1,035,814",1184550.243,22.82667118
E09000016,Havering,"665,062","652,490","717,250",760738.266,14.38606716
E09000017,Hillingdon,"765,780","782,904","833,140",917265.9006,19.78190872
E09000018,Hounslow,"755,257","1,179,879","1,020,701",1392261.539,84.34275207
E09000019,Islington,"2,617,333","2,385,714","1,541,944",2321153.889,-11.31606528
E09000020,Kensington and Chelsea,"11,460,682","10,575,000","13,456,175",12560416.67,9.595717515
E09000021,Kingston upon Thames,"1,128,391","1,380,891","1,274,794",1401714.185,24.22238258
E09000022,Lambeth,"1,437,229","1,627,015","1,555,041",1250113.889,-13.01915777
E09000023,Lewisham,"959,784","977,071","1,151,045",1187655.948,23.7420032
E09000024,Merton,"2,212,155","2,461,965","2,725,575",3308235.739,49.54809853
E09000025,Newham,"600,625","569,125","506,136",611230.125,1.765681582
E09000026,Redbridge,"835,625","834,926","1,020,103",1036685.602,24.0611042
E09000027,Richmond upon Thames,"1,615,362","1,740,107","2,075,267",1985839.03,22.93461342
E09000028,Southwark,"1,574,866","1,935,535","1,988,579",1925930.635,22.29171466
E09000029,Sutton,"744,802","844,797","912,403",979376.5672,31.49488954
E09000030,Tower Hamlets,:,:,:,1783000,#VALUE!
E09000031,Waltham Forest,"772,670","663,690","795,699",824455.8824,6.702199179
E09000032,Wandsworth,"2,510,300","2,379,069","3,127,912",3210795.216,27.9048407
E09000033,Westminster,"5,822,923","7,678,321","7,286,366",7182130.429,23.34235622
E06000035,Medway,"436,589","455,261","478,503",519292.8539,18.94318315
E06000036,Bracknell Forest,"607,140","644,376","671,630",728733.5171,20.02726177
E06000037,West Berkshire,"633,930","621,456","647,921",733593.7879,15.72157618
E06000038,Reading,"636,045","576,218","660,705",715478.2896,12.48862731
E06000039,Slough,"549,835","579,045","584,699",659198.1548,19.89017702
E06000040,Windsor and Maidenhead,"924,400","978,446","1,100,309",1160379.324,25.52783687
E06000041,Wokingham,"609,731","624,534","659,767",759868.6671,24.62359091
E06000042,Milton Keynes,"465,509","475,405","506,092",550028.121,18.15628076
E06000043,Brighton and Hove,"689,513","734,285","760,579",925474.7683,34.22151117
E06000044,Portsmouth,"520,651","546,043","517,262",563921.6868,8.310881339
E06000045,Southampton,"348,301","359,191","373,341",413595.9087,18.74668999
E06000046,Isle of Wight,"347,448","386,474","419,658",467127.3565,34.44525699
E06000060,Buckinghamshire,"724,950","766,280","841,456",946480.7852,30.55807783
E07000061,Eastbourne,"412,103","450,091","474,319",541545.2869,31.41017826
E07000062,Hastings,"357,818","387,757","424,702",494371.3071,38.16278306
E07000063,Lewes,"491,325","497,360","577,861",651619.3848,32.62491931
E07000064,Rother,"458,553","489,965","565,069",621765.9753,35.59304493
E07000065,Wealden,"509,831","570,352","616,472",698517.1642,37.00955105
E07000084,Basingstoke and Deane,"533,752","549,610","602,411",669814.5671,25.49172033
E07000085,East Hampshire,"583,814","631,283","684,213",775669.5265,32.86244018
E07000086,Eastleigh,"449,599","457,731","514,534",559577.4506,24.46145356
E07000087,Fareham,"458,404","481,009","527,511",577772.9668,26.0401233
E07000088,Gosport,"400,324","413,939","443,431",506265.6299,26.46397166
E07000089,Hart,"638,264","683,045","712,046",800561.002,25.42787969
E07000090,Havant,"402,329","438,057","478,401",549146.6816,36.49194604
E07000091,New Forest,"514,094","592,335","597,888",721719.7794,40.3867346
E07000092,Rushmoor,"485,905","495,484","530,770",566405.4839,16.56712401
E07000093,Test Valley,"507,332","550,457","598,209",693163.5702,36.62918369
E07000094,Winchester,"694,066","748,620","776,765",830224.8554,19.61756597
E07000105,Ashford,"481,471","519,752","531,040",582728.303,21.03082076
E07000106,Canterbury,"475,911","479,593","515,049",575671.222,20.96194919
E07000107,Dartford,"531,576","561,046","595,306",683961.3824,28.66671603
E07000108,Dover,"408,095","440,715","495,488",548074.0852,34.30061265
E07000109,Gravesham,"522,715","539,639","590,119",606993.9577,16.12330959
E07000110,Maidstone,"501,923","524,046","548,440",642637.364,28.03505
E07000111,Sevenoaks,"860,486","894,292","953,634",1067572.117,24.06618086
E07000112,Folkestone and Hythe,"437,521","459,517","488,571",566689.484,29.52280782
E07000113,Swale,"410,065","423,861","451,461",494000.342,20.46878958
E07000114,Thanet,"411,094","436,259","481,252",526108.5949,27.97768756
E07000115,Tonbridge and Malling,"575,839","620,840","677,307",742978.3567,29.02536242
E07000116,Tunbridge Wells,"735,999","776,739","824,378",956262.2829,29.92711714
E07000177,Cherwell,"451,661","488,164","511,449",573324.5694,26.93692158
E07000178,Oxford,"833,525","1,054,400","1,003,041",1037537.626,24.47588567
E07000179,South Oxfordshire,"643,410","714,176","786,958",869517.2208,35.14201222
E07000180,Vale of White Horse,"515,712","540,104","603,351",664262.5525,28.80494394
E07000181,West Oxfordshire,"550,254","571,258","633,948",734479.9795,33.48017088
E07000207,Elmbridge,"1,359,850","1,428,803","1,542,766",1748231.97,28.56064787
E07000208,Epsom and Ewell,"787,030","780,586","839,369",936315.828,18.96825127
E07000209,Guildford,"847,952","855,056","936,303",1070984.801,26.30252668
E07000210,Mole Valley,"798,138","883,359","954,115",1013121.759,26.93566263
E07000211,Reigate and Banstead,"762,207","822,108","855,883",995768.6585,30.64281206
E07000212,Runnymede,"899,902","1,035,835","1,118,271",1068736.82,18.76146736
E07000213,Spelthorne,"606,908","638,492","685,156",757572.7644,24.82497584
E07000214,Surrey Heath,"659,114","720,606","756,636",826366.4188,25.37534005
