Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022,price_change_flats
E06000031,Peterborough,"145,203","145,653","131,561",130863.7918,-9.875283706
E06000032,Luton,"172,837","159,497","166,167",167050.0074,-3.348237125
E06000033,Southend-on-Sea,"203,491","221,272","219,828",231193.3246,13.61353799
E06000034,Thurrock,"191,527","187,856","201,045",209534.2649,9.401945888
E06000055,Bedford,"188,805","185,768","172,270",175774.8969,-6.90135489
E06000056,Central Bedfordshire,"184,635","176,693","187,919",192358.2729,4.182995044
E07000008,Cambridge,"338,716","329,059","326,936",342560.1266,1.13491143
E07000009,East Cambridgeshire,"181,361","167,075","162,141",177911.0417,-1.902260299
E07000010,Fenland,"123,802","111,045","101,303",116517.6471,-5.883873362
E07000011,Huntingdonshire,"163,047","162,769","164,272",168333.9806,3.242611394
E07000012,South Cambridgeshire,"227,297","259,848","239,309",223049.3113,-1.868783442
E07000066,Basildon,"192,831","196,861","204,828",218611.4588,13.36945761
E07000067,Braintree,"166,978","173,882","174,800",177481.0318,6.290069231
E07000068,Brentwood,"277,175","272,122","287,723",283193.1862,2.171258663
E07000069,Castle Point,"198,144","201,079","206,403",214331.9328,8.169781977
E07000070,Chelmsford,"231,415","220,765","222,363",234077.4314,1.150500789
E07000071,Colchester,"174,697","169,902","178,713",185956.3171,6.445054637
E07000072,Epping Forest,"309,329","326,183","334,459",345072.8689,11.55529191
E07000073,Harlow,"216,854","202,466","209,710",206690.0721,-4.686991201
E07000074,Maldon,"181,101","182,606","208,201",202100.6757,11.59556032
E07000075,Rochford,"208,787","188,190","202,932",205283.4677,-1.678041401
E07000076,Tendring,"152,027","152,116","171,343",171122.2319,12.56042144
E07000077,Uttlesford,"222,956","218,037","218,281",238896.9758,7.14983037
E07000095,Broxbourne,"233,404","223,188","231,329",240835.9783,3.184169209
E07000096,Dacorum,"253,988","257,457","273,798",268378.4304,5.665791455
E07000098,Hertsmere,"352,202","389,885","410,952",346102.0139,-1.73195669
E07000099,North Hertfordshire,"210,492","222,686","234,138",231193.4255,9.834780182
E07000102,Three Rivers,"343,017","321,060","322,169",344376.0773,0.396212812
E07000103,Watford,"279,714","264,234","280,216",278563.1503,-0.411438005
E07000143,Breckland,"112,781","124,700","126,168",130246.3889,15.48610927
E07000144,Broadland,"153,708","158,756","161,813",174772.8539,13.70446164
E07000145,Great Yarmouth,"100,864","112,979","103,689",104280.5556,3.387289419
E07000146,King's Lynn and West Norfolk,"151,614","149,558","146,146",147420.8582,-2.765669265
E07000147,North Norfolk,"166,875","175,970","179,087",192433.8833,15.31618475
E07000148,Norwich,"164,229","158,035","170,024",178173.5587,8.490923467
E07000149,South Norfolk,"145,454","148,711","151,528",153068.5034,5.234990719
E07000200,Babergh,"201,139","181,965","163,798",179682.4359,-10.66753046
E07000202,Ipswich,"139,878","143,441","147,425",142438.3804,1.830438239
E07000203,Mid Suffolk,"130,103","131,427","137,437",150150.6849,15.40908734
E07000240,St Albans,"365,622","356,394","360,710",349538.9331,-4.398823621
E07000241,Welwyn Hatfield,"265,625","269,699","276,316",269817.7224,1.578436668
E07000242,East Hertfordshire,"252,332","271,595","274,292",269590.9732,6.83978774
E07000243,Stevenage,"184,543","179,543","183,869",181660.9091,-1.561744905
E07000244,East Suffolk,"165,871","187,535","202,201",201549.9153,21.5100381
E07000245,West Suffolk,"196,470","199,324","182,134",196989.4893,0.264411513
E09000001,City of London,"1,084,810","1,170,006","920,663",899996.5615,-17.03647998
E09000002,Barking and Dagenham,"238,784","261,111","248,890",230999.8386,-3.259917499
E09000003,Barnet,"440,735","447,685","450,868",436503.8403,-0.960023529
E09000004,Bexley,"234,347","237,931","262,355",268588.4223,14.61141909
E09000005,Brent,"406,877","437,995","441,781",448964.5779,10.34405432
E09000006,Bromley,"339,364","336,054","351,427",346610.6727,2.135368719
E09000007,Camden,"855,908","879,026","867,948",839356.0332,-1.933848825
E09000008,Croydon,"297,799","309,141","304,354",295651.9046,-0.720988116
E09000009,Ealing,"422,716","440,921","446,725",449883.5451,6.426902483
E09000010,Enfield,"325,835","341,617","356,822",337815.1525,3.676754339
E09000011,Greenwich,"469,956","446,650","420,251",413325.1533,-12.05024443
E09000012,Hackney,"629,742","622,028","583,397",572597.5472,-9.074264191
E09000013,Hammersmith and Fulham,"754,407","810,204","698,804",661091.9588,-12.36932335
E09000014,Haringey,"469,272","469,520","494,487",501651.5674,6.899957253
E09000015,Harrow,"365,865","363,101","376,063",373263.7258,2.022255695
E09000016,Havering,"254,980","252,915","259,407",257018.2521,0.799377245
E09000017,Hillingdon,"309,296","320,907","327,799",317968.1122,2.80382294
E09000018,Hounslow,"380,554","387,640","399,812",392496.9639,3.138309911
E09000019,Islington,"614,069","660,947","632,855",629347.7905,2.488122752
E09000020,Kensington and Chelsea,"1,435,195","1,481,150","1,426,968",1495750.133,4.219296542
E09000021,Kingston upon Thames,"407,734","392,020","395,856",406017.3804,-0.421014583
E09000022,Lambeth,"565,485","620,366","541,255",524908.0088,-7.175608761
E09000023,Lewisham,"373,299","393,436","383,787",389730.7534,4.401767323
E09000024,Merton,"409,282","417,637","454,738",440396.8696,7.602305892
E09000025,Newham,"434,722","442,226","423,045",396663.7981,-8.754606829
E09000026,Redbridge,"283,487","301,400","323,519",318656.5185,12.40604278
E09000027,Richmond upon Thames,"519,979","518,909","509,770",542093.5882,4.252977178
E09000028,Southwark,"609,739","538,072","526,505",515259.294,-15.49510627
E09000029,Sutton,"270,513","298,411","282,630",294412.4339,8.834855959
E09000030,Tower Hamlets,"541,309","578,047","624,140",571109.0184,5.505176969
E09000031,Waltham Forest,"372,765","376,546","377,886",393595.9981,5.588238729
E09000032,Wandsworth,"615,264","634,208","604,623",605992.6272,-1.506893431
E09000033,Westminster,"1,711,474","1,610,574","1,316,788",1487092.42,-13.11042879
E06000035,Medway,"189,886","181,686","200,130",192423.6689,1.336417061
E06000036,Bracknell Forest,"256,675","262,877","250,282",248457.6694,-3.201453433
E06000037,West Berkshire,"223,875","217,182","236,426",236063.6511,5.444400268
E06000038,Reading,"254,325","249,953","242,157",235977.2611,-7.214288371
E06000039,Slough,"238,982","224,648","235,051",226689.396,-5.143736348
E06000040,Windsor and Maidenhead,"369,533","349,950","364,625",384733.7191,4.113494356
E06000041,Wokingham,"254,468","248,251","259,752",256588.3889,0.833263475
E06000042,Milton Keynes,"180,386","166,080","178,565",179196.1966,-0.65958744
E06000043,Brighton and Hove,"299,327","310,896","333,500",346643.4389,15.80760803
E06000044,Portsmouth,"171,083","187,743","187,775",189455.7201,10.73906823
E06000045,Southampton,"169,551","164,022","167,812",172724.2493,1.871560356
E06000046,Isle of Wight,"152,546","167,353","179,224",175456.6426,15.01884192
E06000060,Buckinghamshire,"292,014","279,664","282,439",278876.8989,-4.498791531
E07000061,Eastbourne,"212,998","196,623","222,611",233097.9416,9.436680908
E07000062,Hastings,"156,306","163,087","184,572",201087.6634,28.64999642
E07000063,Lewes,"250,461","237,426","250,162",259718.2435,3.696081825
E07000064,Rother,"179,985","179,374","194,710",215334.8783,19.64045798
E07000065,Wealden,"180,328","194,078","203,563",214023.2537,18.68553619
E07000084,Basingstoke and Deane,"188,909","189,844","184,481",184512.1968,-2.327471534
E07000085,East Hampshire,"226,554","213,895","225,018",225116.251,-0.634616471
E07000086,Eastleigh,"188,792","183,867","182,505",194905.5356,3.238238697
E07000087,Fareham,"179,236","167,811","177,385",181357.6799,1.183735355
E07000088,Gosport,"160,654","169,279","176,648",167810.9291,4.454871401
E07000089,Hart,"240,147","237,352","241,056",239655.0711,-0.204844907
E07000090,Havant,"172,309","170,579","180,165",176960.444,2.699478263
E07000091,New Forest,"218,464","238,851","249,773",249816.5359,14.35135121
E07000092,Rushmoor,"199,856","202,090","205,934",206049.8256,3.099144184
E07000093,Test Valley,"214,869","236,237","218,234",200449.4925,-6.710836603
E07000094,Winchester,"256,659","304,912","279,299",285739.7793,11.3305122
E07000105,Ashford,"179,081","185,943","189,630",184970.2018,3.288568748
E07000106,Canterbury,"198,774","209,254","226,507",218057.8026,9.701370702
E07000107,Dartford,"221,001","226,911","219,733",232362.6844,5.141010403
E07000108,Dover,"165,392","177,980","190,644",191993.3299,16.0838069
E07000109,Gravesham,"174,426","174,574","176,817",186720.1871,7.04836842
E07000110,Maidstone,"179,758","189,275","192,813",201746.8156,12.23245452
E07000111,Sevenoaks,"292,027","269,495","303,826",292183.7966,0.053692501
E07000112,Folkestone and Hythe,"175,934","203,462","222,270",218588.9276,24.24484614
E07000113,Swale,"165,563","166,577","165,598",178552.7368,7.845796947
E07000114,Thanet,"164,894","174,073","199,247",197384.6222,19.70394447
E07000115,Tonbridge and Malling,"234,266","241,827","246,418",256113.5374,9.325953147
E07000116,Tunbridge Wells,"299,569","276,626","322,986",298009.9707,-0.520424109
E07000177,Cherwell,"171,568","174,875","189,676",189197.6089,10.27558105
E07000178,Oxford,"317,676","322,555","327,625",348803.5387,9.798517578
E07000179,South Oxfordshire,"329,394","327,781","318,573",278727.6693,-15.3816799
E07000180,Vale of White Horse,"229,868","242,861","231,233",225511.7061,-1.895128465
E07000181,West Oxfordshire,"209,117","206,385","216,608",224667.4353,7.436236796
E07000207,Elmbridge,"375,579","367,812","404,758",399271.2763,6.308200485
E07000208,Epsom and Ewell,"315,978","323,718","320,491",316182.916,0.06485135
E07000209,Guildford,"294,457","300,121","298,948",307090.8704,4.290565482
E07000210,Mole Valley,"277,844","290,465","292,948",293175.8821,5.518162026
E07000211,Reigate and Banstead,"265,539","281,897","286,533",290477.9916,9.391837583
E07000212,Runnymede,"308,543","315,014","315,487",280310.3261,-9.150320668
E07000213,Spelthorne,"298,779","304,831","260,487",265528.4691,-11.12880453
E07000214,Surrey Heath,"248,468","254,381","244,746",244901.3077,-1.435473502
E07000215,Tandridge,"288,599","286,552","338,833",302227.6351,4.722343147
E07000216,Waverley,"274,396","288,720","320,507",319017.292,16.26164084
E07000217,Woking,"261,406","267,928","273,285",283353.9054,8.396098559
E07000223,Adur,"232,607","238,385","235,975",240237.7938,3.28055209
E07000224,Arun,"177,892","182,812","196,440",204250.2266,14.81698255
E07000225,Chichester,"233,140","254,963","257,324",253472.459,8.721137085
E07000226,Crawley,"215,062","206,614","204,869",222377.1231,3.401401968
