Local authority code ,Local authority name,Year ending Dec 2019,Year ending Dec 2020,Year ending Dec 2021,Year ending Dec 2022,price_change_tarraced
E06000031,Peterborough,"169,372","170,339","180,109",196986.216,16.30388494
E06000032,Luton,"226,879","234,305","247,031",274818.7004,21.13007392
E06000033,Southend-on-Sea,"296,843","307,079","348,493",364571.2172,22.81617461
E06000034,Thurrock,"281,569","295,759","310,336",341406.9782,21.25162152
E06000055,Bedford,"240,348","243,236","262,358",282564.2871,17.56465088
E06000056,Central Bedfordshire,"265,956","266,938","289,629",311885.1256,17.26944517
E07000008,Cambridge,"513,576","535,229","532,521",584448.1603,13.79974148
E07000009,East Cambridgeshire,"254,289","247,127","268,728",279568.0825,9.941083767
E07000010,Fenland,"148,270","154,538","164,997",178056.4783,20.08934936
E07000011,Huntingdonshire,"227,677","222,250","243,990",264688.1636,16.25599582
E07000012,South Cambridgeshire,"293,330","304,342","335,905",335788.7099,14.47472468
E07000066,Basildon,"267,706","281,405","296,675",328790.9327,22.81791693
E07000067,Braintree,"252,340","263,514","278,586",297925.9895,18.06530455
E07000068,Brentwood,"387,319","402,696","419,578",444781.4546,14.83595037
E07000069,Castle Point,"264,088","280,974","290,745",320727.1613,21.44707874
E07000070,Chelmsford,"317,752","323,958","339,222",367656.8139,15.70558609
E07000071,Colchester,"249,236","258,327","271,180",290548.5957,16.5756936
E07000072,Epping Forest,"430,493","441,513","470,010",503289.8946,16.91012272
E07000073,Harlow,"287,625","291,621","303,247",332717.7059,15.67760309
E07000074,Maldon,"265,323","261,110","279,648",308847.7636,16.40444424
E07000075,Rochford,"298,410","301,151","311,156",353819.4048,18.56821313
E07000076,Tendring,"193,094","209,293","222,950",232119.614,20.21068184
E07000077,Uttlesford,"321,767","344,376","374,486",415254.9139,29.05453757
E07000095,Broxbourne,"356,974","363,033","387,950",418004.1353,17.09652112
E07000096,Dacorum,"374,363","398,262","417,261",443348.7071,18.42749072
E07000098,Hertsmere,"455,137","455,606","482,037",528319.704,16.07926932
E07000099,North Hertfordshire,"330,900","345,004","364,349",387533.4758,17.11498211
E07000102,Three Rivers,"419,614","436,477","443,920",484434.5931,15.44767169
E07000103,Watford,"378,310","403,531","406,768",442476.3499,16.96131477
E07000143,Breckland,"173,354","179,483","195,444",211235.28,21.85197919
E07000144,Broadland,"210,625","226,474","229,755",255852.2569,21.47288161
E07000145,Great Yarmouth,"137,810","147,112","159,747",172349.6904,25.06326856
E07000146,King's Lynn and West Norfolk,"196,805","205,829","219,707",230209.6353,16.97346881
E07000147,North Norfolk,"236,801","257,728","263,766",278376.1242,17.55698844
E07000148,Norwich,"227,950","231,354","248,850",264789.5101,16.161224
E07000149,South Norfolk,"208,299","213,231","230,892",257569.4648,23.65372124
E07000200,Babergh,"236,677","235,904","269,633",271695.7256,14.7959986
E07000202,Ipswich,"186,858","190,678","207,843",222787.6505,19.22831803
E07000203,Mid Suffolk,"208,182","221,604","228,372",241768.6241,16.1332988
E07000240,St Albans,"521,677","532,271","565,553",613802.4097,17.65947314
E07000241,Welwyn Hatfield,"366,231","381,711","393,822",437601.4758,19.4878303
E07000242,East Hertfordshire,"383,526","392,219","402,689",448008.9453,16.81318745
E07000243,Stevenage,"276,012","279,109","301,900",334853.6117,21.31849764
E07000244,East Suffolk,"200,595","223,038","236,966",235359.1625,17.33052294
E07000245,West Suffolk,"227,425","232,126","245,852",265109.65,16.570144
E09000001,City of London,:,:,:,:,#VALUE!
E09000002,Barking and Dagenham,"336,817","346,073","363,439",396127.8487,17.60922065
E09000003,Barnet,"629,915","636,695","682,201",713025.454,13.19391569
E09000004,Bexley,"353,879","376,700","391,552",426646.994,20.56295909
E09000005,Brent,"842,409","868,862","862,991",957613.7494,13.67563136
E09000006,Bromley,"448,798","472,158","493,541",541802.1664,20.72294582
E09000007,Camden,"2,162,694","1,877,002","2,122,116",2215425.475,2.438230975
E09000008,Croydon,"394,730","410,923","421,867",457226.9575,15.832837
E09000009,Ealing,"637,729","651,344","711,403",747609.2119,17.22992241
E09000010,Enfield,"455,954","471,332","500,889",534006.1346,17.11842304
E09000011,Greenwich,"509,119","532,596","549,107",581432.03,14.20356145
E09000012,Hackney,"953,769","1,087,431","1,137,938",1221521.9,28.0731393
E09000013,Hammersmith and Fulham,"1,425,539","1,469,701","1,535,814",1584970.4,11.18393815
E09000014,Haringey,"814,332","825,594","840,505",934428.1336,14.74780969
E09000015,Harrow,"494,755","520,077","542,162",574869.9036,16.19284365
